Date,Open,High,Low,Close,Adj Close,ret
2013/12/1,null,null,null,null,null,
2014/1/1,12.72,12.87,12.4,12.42,7.920401,0
2014/2/1,12.15,12.91,12.15,12.91,8.232881,3.945254792
2014/3/1,12.84,13.14,12.79,13.14,8.379555,1.781563465
2014/4/1,13.2,13.24,12.79,13.17,8.434789,0.659151948
2014/5/1,13.16,13.42,13.08,13.42,8.594902,1.898245469
2014/6/1,13.44,13.75,13.43,13.68,8.761419,1.937392654
2014/7/1,13.76,13.79,13.42,13.42,8.62816,-1.520975084
2014/8/1,13.36,13.85,13.26,13.85,8.904623,3.204194173
2014/9/1,13.83,13.84,13.48,13.48,8.666736,-2.671499961
2014/10/1,13.33,13.92,12.91,13.92,8.960105,3.384999843
2014/11/1,13.91,14.31,13.88,14.22,9.153214,2.155209119
2014/12/1,14.17,14.32,13.32,13.89,8.940797,-2.320682112
2015/1/1,13.9,13.97,13.51,13.53,8.903153,-0.42103629
2015/2/1,13.71,14.24,13.71,14.12,9.291393,4.360702326
2015/3/1,14.17,14.17,13.71,13.87,9.126884,-1.770552596
2015/4/1,13.79,14.1,13.79,13.84,9.16072,0.370728937
2015/5/1,13.93,14.02,13.76,13.89,9.193814,0.361259814
2015/6/1,13.9,13.92,13.52,13.54,8.962148,-2.519802989
2015/7/1,13.63,13.89,13.4,13.63,9.073943,1.247413009
2015/8/1,13.57,13.66,12.17,12.9,8.587959,-5.355819405
2015/9/1,12.47,12.83,12.29,12.57,8.368269,-2.558116544
2015/10/1,12.56,13.6,12.56,13.51,9.061043,8.278581867
2015/11/1,13.71,13.76,13.17,13.54,9.081162,0.222038456
2015/12/1,13.68,13.68,12.78,13.03,8.739108,-3.766632508
2016/1/1,12.85,12.93,11.88,12.42,8.531281,-2.378126006
2016/2/1,12.38,12.57,11.79,12.45,8.551888,0.241546375
2016/3/1,12.7,13.2,12.7,13.14,9.025847,5.542156305
2016/4/1,13.2,13.48,13.03,13.27,9.16971,1.593900273
2016/5/1,13.35,13.47,13.16,13.44,9.287181,1.281076501
2016/6/1,13.47,13.66,13.01,13.66,9.439204,1.636912213
2016/7/1,13.68,14.07,13.58,14.01,9.75055,3.29843491
2016/8/1,13.97,14.03,13.86,13.91,9.680952,-0.713785376
2016/9/1,13.89,14.01,13.51,13.77,9.583517,-1.006460935
2016/10/1,13.71,13.73,13.52,13.54,9.483845,-1.04003572
2016/11/1,13.46,14.2,13.31,14.16,9.918115,4.579049953
2016/12/1,14.17,14.67,14.17,14.37,10.065204,1.483033822
2017/1/1,14.37,14.55,14.28,14.33,10.137379,0.717074388
2017/2/1,14.3,14.96,14.3,14.91,10.547683,4.047436719
2017/3/1,15.11,15.11,14.64,14.79,10.462793,-0.804821305
2017/4/1,14.76,14.87,14.6,14.74,10.503761,0.391558927
2017/5/1,14.74,14.84,14.53,14.74,10.503761,0
2017/6/1,14.87,15.05,14.82,14.89,10.610653,1.017654533
2017/7/1,14.98,15.12,14.83,15.12,10.861531,2.364397366
2017/8/1,15.15,15.19,14.83,15.04,10.804064,-0.529087474
2017/9/1,15.1,15.45,14.97,15.45,11.098587,2.726039016
2017/10/1,15.52,15.92,15.52,15.84,11.446708,3.136624509
2017/11/1,15.87,16.42,15.8,16.42,11.865843,3.661620441
2017/12/1,16.42,16.540001,15.26,15.3,11.056481,-6.820939734
2018/1/1,15.4,16.440001,15.4,16.129999,12.696246,14.83080376
2018/2/1,16.190001,16.190001,14.82,15.41,12.12952,-4.463728885
2018/3/1,15.25,15.65,14.69,15.05,11.846158,-2.336135313
2018/4/1,14.73,15.33,14.73,15.19,12.055717,1.769003925
2018/5/1,15.12,15.51,14.96,15.18,12.047782,-0.065819395
2018/6/1,15.3,15.48,14.91,14.99,11.896987,-1.251641173
2018/7/1,14.97,15.54,14.96,15.54,12.404014,4.261810154
2018/8/1,15.47,15.94,15.42,15.83,12.635491,1.866145911
2018/9/1,15.8,15.97,15.67,15.69,12.523744,-0.884389851
2018/10/1,15.73,15.81,14.52,14.9,11.967726,-4.439710681
2018/11/1,15.04,15.5,14.83,15.4,12.369328,3.355708511
2018/12/1,15.51,15.51,10.81,11.49,9.228804,-25.38960888
