date,rmrf,rf,mkt,smb,hml,mom,rmw,cma
201401,-3.32,0,-3.32,0.59,-2.09,1.72,-4,-1.38
201402,4.65,0,4.65,0.13,-0.4,2.08,-0.24,-0.44
201403,0.43,0,0.43,-1.17,5.08,-3.3,2.15,1.89
201404,-0.19,0,-0.19,-4.17,1.14,-3.85,3.51,1.05
201405,2.06,0,2.06,-1.89,-0.27,1.15,0.09,-1.06
201406,2.61,0,2.61,3.08,-0.74,0.68,-1.99,-1.94
201407,-2.04,0,-2.04,-4.25,0.01,-0.24,0.95,0.48
201408,4.24,0,4.24,0.29,-0.58,0.82,-0.64,-0.68
201409,-1.97,0,-1.97,-3.79,-1.23,0.53,1.14,-0.53
201410,2.52,0,2.52,3.79,-1.68,0,-0.48,-0.14
201411,2.55,0,2.55,-2.31,-2.99,1.05,1.4,0.2
201412,-0.06,0,-0.06,2.87,2.06,1.06,-1.16,0.88
201501,-3.11,0,-3.11,-0.86,-3.47,3.87,1.66,-1.71
201502,6.13,0,6.13,0.2,-1.79,-2.84,-1.07,-1.71
201503,-1.12,0,-1.12,3.04,-0.46,2.98,0.08,-0.52
201504,0.59,0,0.59,-3.02,1.86,-7.37,-0.16,-0.5
201505,1.36,0,1.36,0.76,-1.37,6.01,-1.71,-0.75
201506,-1.53,0,-1.53,2.87,-0.79,3.04,0.52,-1.49
201507,1.54,0,1.54,-4.55,-4.12,10.28,0.03,-2.57
201508,-6.04,0,-6.04,0.4,2.68,-2.07,0.76,1.22
201509,-3.08,0,-3.08,-2.78,0.52,5.32,1.81,-0.52
201510,7.75,0,7.75,-2.16,-0.08,-3.97,0.82,0.46
201511,0.56,0,0.56,3.34,-0.52,2.28,-2.57,-1.13
201512,-2.17,0.01,-2.16,-2.98,-2.58,3.44,0.3,0.08
201601,-5.77,0.01,-5.76,-3.43,2.1,1.37,2.61,3
201602,-0.07,0.02,-0.05,0.94,-0.48,-4.09,3.29,2.1
201603,6.96,0.02,6.98,1.1,1.12,-5.14,0.82,-0.06
201604,0.92,0.01,0.93,1.17,3.26,-6.23,-2.88,1.96
201605,1.78,0.01,1.79,-0.7,-1.81,1.94,-1.03,-2.6
201606,-0.05,0.02,-0.03,0.49,-1.49,4.21,1.2,1.92
201607,3.95,0.02,3.97,2.65,-1.1,-3.06,1.33,-1.27
201608,0.5,0.02,0.52,1.71,3.33,-3.11,-1.3,-0.38
201609,0.25,0.02,0.27,1.71,-1.5,-0.55,-2.44,-0.03
201610,-2.02,0.02,-2,-4,4.17,0.65,1.12,0.19
201611,4.86,0.01,4.87,6.87,8.32,-4.22,0.01,3.63
201612,1.82,0.03,1.85,0.37,3.55,-0.39,1.04,-0.26
201701,1.94,0.04,1.98,-1.28,-2.76,-0.97,-0.13,-0.97
201702,3.57,0.04,3.61,-2.11,-1.78,-1.65,0.72,-1.75
201703,0.17,0.03,0.2,0.76,-3.16,-0.88,0.6,-0.98
201704,1.09,0.05,1.14,0.49,-1.87,0.51,1.94,-1.57
201705,1.06,0.06,1.12,-3.07,-3.77,1.47,1.17,-1.87
201706,0.78,0.06,0.84,2.48,1.35,-0.25,-1.99,-0.06
201707,1.87,0.07,1.94,-1.58,-0.28,1.63,-0.69,-0.15
201708,0.16,0.09,0.25,-1.86,-2.24,3.53,0.32,-2.44
201709,2.51,0.09,2.6,4.82,3.03,-1.23,-1.18,1.64
201710,2.25,0.09,2.34,-1.97,-0.06,4.3,1.05,-3.34
201711,3.12,0.08,3.2,-0.43,-0.05,-0.75,3.16,0
201712,1.06,0.09,1.15,-1.02,0.14,-1.62,0.62,1.65
201801,5.58,0.11,5.69,-3.15,-1.37,3.94,-0.49,-0.89
201802,-3.65,0.11,-3.54,0.35,-1.19,3.98,0.46,-2.25
201803,-2.35,0.12,-2.23,3.52,-0.11,-1.28,-0.48,-0.01
201804,0.29,0.14,0.43,0.94,0.53,0.27,-2.08,1.18
201805,2.65,0.14,2.79,4.72,-3.16,3.77,-1.94,-1.39
201806,0.48,0.14,0.62,0.85,-2.39,-2.41,0.73,0.33
201807,3.19,0.16,3.35,-1.92,0.4,-1.62,1.6,0.56
201808,3.44,0.16,3.6,0.76,-4.11,5.29,-0.34,-2.65
201809,0.06,0.15,0.21,-2.51,-1.35,-0.07,0.61,1.19
201810,-7.68,0.19,-7.49,-4.43,3.41,-1.82,0.72,3.49
201811,1.69,0.18,1.87,-0.81,0.2,-1.4,-0.63,0.42
201812,-9.55,0.19,-9.36,-3,-1.51,1.73,-0.27,0.1
